callsign,lat,lon,website,logo
WGFL,29.62997,-82.57317,http://www.mycbs4.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/7727/tv
KRII,47.86076,-92.94629,http://www.nncnow.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/82698/tv
WPFO,44.15424,-70.00977,http://FOX23Maine.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/84088/tv
WRAL-TV,35.67488,-78.5275,http://www.wral.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/8688/tv
KNAZ-TV,34.96835,-111.50848,http://www.azcentral.com/12news/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24749/tv
WXIN,39.88893,-86.20193,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/146/tv
WFUP,45.17001,-84.75115,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/25395/tv
KRWF,44.48412,-95.49112,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35585/tv
WCAV,37.98431,-78.48084,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/363/tv
WKTC,34.11626,-80.76397,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/40902/tv
KJRR,46.92416,-98.77233,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55364/tv
KBRR,47.97719,-96.60534,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55370/tv
KVRR,46.67468,-96.22812,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55372/tv
WTTV,39.40755,-86.14777,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56523/tv
WTTK,39.88893,-86.20193,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56526/tv
WGWW,33.60677,-86.41748,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56642/tv
WGTQ,46.05224,-84.11057,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/59279/tv
WJKT,35.78952,-89.10395,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/68519/tv
KSNC,38.43168,-98.77203,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72359/tv
KLKN,40.88307,-97.3056,http://www.klkntv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11264/tv
WCCT-TV,41.70371,-72.83204,http://www.ct.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/14050/tv
KNVA,30.32604,-97.79973,http://www.theCW.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/144/tv
KCBA,36.75607,-121.50383,http://www.kcba.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/14867/tv
KECI-TV,47.0177,-114.014,http://www.keci.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/18084/tv
KSBW,36.75635,-121.50244,http://www.ksbw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/19653/tv
WFXP,42.04033,-80.06894,http://yourerie.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/19707/tv
KTHV,34.79926,-92.50016,http://www.thv11.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/2787/tv
WDRB,38.35007,-85.84913,http://www.wdrb.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/28476/tv
WBKI,38.35007,-85.84913,http://www.wmyo.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34167/tv
KMCB,43.39383,-124.13464,http://www.kmtr.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35183/tv
KTCW,43.20578,-123.36791,http://www.kmtr.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35187/tv
KMVT,42.72963,-114.41532,http://www.kmvt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35200/tv
KTVU,37.75521,-122.45275,http://WWW.KTVU.COM,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35703/tv
WVLT-TV,35.99564,-83.9563,http://www.wvlt.tv,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35908/tv
WLBZ,44.73618,-68.67087,http://www.WLBZ2.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/39644/tv
WCSH,43.85841,-70.71089,http://www.WCSH6.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/39664/tv
